,param_units,param_activation,param_optimizer,mean_train_score,mean_test_score,rank_test_score
29,50,relu,adam,-0.004536016242733846,-0.006116870674304664,1
13,150,relu,adam,-0.004523980159622927,-0.005880977842025459,1
12,100,tanh,adamax,-0.004941296045823644,-0.006229083325403432,2
12,100,tanh,adamax,-0.004944483962996553,-0.006324407023688157,1
13,150,relu,adam,-0.004475358407944441,-0.008691802504472435,2
