,mse,rmse,rmsle,mape,r2
"attention=additive,dropout=0.5",46331629709.99394,215247.83322949836,0.17698536787603908,15.764455488295633,-0.19486120581660393
"attention=attention,dropout=0.2",86014323240.80586,293281.9858784475,0.22840998357569678,21.35244994398594,-1.218250871560414
"attention=time,dropout=0.3",25799348178.128906,160621.75499641668,0.19923195566985621,17.227539318497637,0.33465236456484804
Average,52715100376.30957,223050.52470145418,0.20154243570719735,18.114814916926402,-0.35948657093738995
