,param_attention,param_dropout,mean_train_score,mean_test_score,rank_test_score
3,additive,0.5,-0.01287396407375733,-0.046864906403546534,1
4,attention,0.2,-0.006279325267920892,-0.04712300895092388,2
7,attention,0.5,-0.014881943197300037,-0.051709750667214394,3
5,attention,0.3,-0.009280911413952708,-0.053164802103613816,4
1,additive,0.3,-0.012874943514664968,-0.058423958563556276,5
