,MSE,RMSE,RMSLE,MAPE,R2
bp_model_1,460767671305.32764,678798.6971888851,1.3352578607983245,71.98454029166253,-10.882884733027975
bp_model_2,5155958487.374057,71805.00321965077,0.11643704775150229,7.306490258478528,0.8670313387652057
bp_model_3,135401340342.02794,367969.2111332522,0.5050105510058857,38.34906034226645,-2.4919084392872533
bp_model_4,308723230230.1944,555628.6801724641,0.91253558401829,58.85265519768454,-6.961762049930173
bp_model_5,132222483155.04526,363624.0959494368,0.4941808966896681,37.91833698193326,-2.409927875354325
bp_model_6,10012087469.785145,100060.41909658955,0.13204283371460693,10.057125274360622,0.7417950764570601
bp_model_7,49133260867.397804,221660.23745227244,0.28140474942090093,22.129811973881523,-0.2671133671142423
bp_model_8,6579755727.91751,81115.69347492204,0.11517122522547929,7.963123480438066,0.8303125766943964
bp_model_9,17324954791.683617,131624.2940785766,0.17805290363093818,13.696243176327464,0.5532012039575643
bp_model_10,254636355811.97763,504615.0570603077,0.7708574511326902,51.86477699156393,-5.56689835981781
Average,137995709818.8731,307690.13888263574,0.4840951103388285,32.01221639685969,-2.558815462865755
